Day,Month,Calls,Bid,Ask,Puts,Bid,Ask
14,Mar,10,5.2,5.4,10,0,0.05
14,Mar,11,4.2,4.4,11,0,0.05
14,Mar,12,3.2,3.4,12,0,0.05
14,Mar,13,2.3,2.45,13,0.05,0.1
14,Mar,14,1.65,1.7,14,0.35,0.4
14,Mar,15,1.2,1.25,15,0.9,0.95
14,Mar,16,0.9,0.95,16,1.6,1.7
14,Mar,17,0.7,0.75,17,2.4,2.5
14,Mar,18,0.55,0.6,18,3.2,3.4
14,Mar,19,0.45,0.5,19,4.1,4.3
14,Mar,20,0.35,0.4,20,5,5.2
14,Mar,21,0.3,0.35,21,5.9,6.1
14,Mar,22,0.25,0.3,22,6.9,7.1
14,Mar,23,0.2,0.25,23,7.9,8
14,Mar,24,0.15,0.25,24,8.8,9
14,Mar,25,0.15,0.2,25,9.8,10
14,Mar,26,0.1,0.2,26,10.8,10.9
14,Mar,27,0.1,0.15,27,11.7,11.9
14,Mar,28,0.1,0.15,28,12.7,12.9
14,Mar,29,0.05,0.1,29,13.6,13.9
14,Mar,30,0.05,0.1,30,14.6,14.9
14,Mar,32.5,0,0.05,32.5,17.1,17.4
14,Mar,35,0,0.05,35,19.6,19.9
14,Mar,37.5,0,0.05,37.5,22.1,22.3
14,Mar,40,0,0.05,40,24.6,24.8
14,Mar,42.5,0,0.05,42.5,27.1,27.3
14,Mar,45,0,0.05,45,29.6,29.8
14,Mar,47.5,0,0.05,47.5,32.1,32.3
14,Mar,50,0,0.05,50,34.6,34.8
14,Mar,55,0,0.05,55,39.5,39.8
14,Mar,60,0,0.05,60,44.5,44.8
14,Mar,65,0,0.05,65,49.5,49.8
14,Mar,70,0,0.05,70,54.5,54.8
14,Apr,10,5.6,5.8,10,0,0.05
14,Apr,11,4.6,4.8,11,0,0.05
14,Apr,12,3.7,3.8,12,0,0.05
14,Apr,13,2.85,2.95,13,0.15,0.2
14,Apr,14,2.2,2.3,14,0.5,0.6
14,Apr,15,1.8,1.85,15,1.05,1.15
14,Apr,16,1.5,1.55,16,1.75,1.85
14,Apr,17,1.25,1.3,17,2.5,2.6
14,Apr,18,1.05,1.15,18,3.3,3.5
14,Apr,19,0.95,1,19,4.2,4.3
14,Apr,20,0.8,0.9,20,5.1,5.2
14,Apr,21,0.7,0.8,21,5.9,6.1
14,Apr,22,0.65,0.7,22,6.9,7
14,Apr,23,0.55,0.65,23,7.8,7.9
14,Apr,24,0.5,0.55,24,8.7,8.9
14,Apr,25,0.45,0.5,25,9.7,9.8
14,Apr,26,0.4,0.45,26,10.6,10.8
14,Apr,27,0.35,0.4,27,11.6,11.7
14,Apr,28,0.3,0.4,28,12.5,12.7
14,Apr,29,0.3,0.35,29,13.5,13.7
14,Apr,30,0.25,0.3,30,14.5,14.6
14,Apr,32.5,0.2,0.25,32.5,16.9,17.1
14,Apr,35,0.15,0.2,35,19.4,19.5
14,Apr,37.5,0.1,0.15,37.5,21.8,22
14,Apr,40,0.1,0.15,40,24.3,24.5
14,Apr,42.5,0.05,0.1,42.5,26.7,27
14,Apr,45,0.05,0.1,45,29.2,29.5
14,Apr,47.5,0.05,0.1,47.5,31.7,32
14,Apr,50,0,0.1,50,34.2,34.4
14,Apr,55,0,0.05,55,39.2,39.4
14,Apr,60,0,0.05,60,44.1,44.4
14,Apr,65,0,0.05,65,49.1,49.4
14,Apr,70,0,0.05,70,54.1,54.4
14,May,10,6.3,6.5,10,0,0.05
14,May,11,5.3,5.5,11,0,0.05
14,May,12,4.3,4.5,12,0,0.1
14,May,13,3.5,3.7,13,0.2,0.25
14,May,14,2.9,3.1,14,0.55,0.6
14,May,15,2.45,2.55,15,1.1,1.15
14,May,16,2.1,2.2,16,1.7,1.8
14,May,17,1.8,1.9,17,2.45,2.5
14,May,18,1.6,1.65,18,3.2,3.3
14,May,19,1.4,1.45,19,4,4.1
14,May,20,1.25,1.3,20,4.8,5
14,May,21,1.1,1.2,21,5.7,5.8
14,May,22,1,1.05,22,6.6,6.7
14,May,23,0.9,0.95,23,7.4,7.6
14,May,24,0.8,0.85,24,8.4,8.5
14,May,25,0.7,0.8,25,9.3,9.5
14,May,26,0.65,0.75,26,10.2,10.4
14,May,27,0.6,0.65,27,11.1,11.3
14,May,28,0.55,0.6,28,12.1,12.3
14,May,29,0.5,0.55,29,13,13.2
14,May,30,0.45,0.5,30,14,14.2
14,May,32.5,0.35,0.4,32.5,16.4,16.6
14,May,35,0.25,0.35,35,18.8,19
14,May,37.5,0.2,0.3,37.5,21.2,21.5
14,May,40,0.15,0.25,40,23.7,23.9
14,May,42.5,0.15,0.2,42.5,26.1,26.4
14,May,45,0.1,0.15,45,28.6,28.9
14,May,47.5,0.1,0.15,47.5,31.1,31.3
14,May,50,0.05,0.15,50,33.5,33.8
14,May,55,0.05,0.1,55,38.5,38.8
14,May,60,0,0.1,60,43.5,43.8
14,May,65,0,0.05,65,48.5,48.7
14,May,70,0,0.05,70,53.4,53.8
14,Jun,10,6.8,7,10,0,0.05
14,Jun,11,5.8,6,11,0,0.05
14,Jun,12,4.9,5.1,12,0.05,0.1
14,Jun,13,4,4.2,13,0.15,0.25
14,Jun,14,3.4,3.6,14,0.5,0.6
14,Jun,15,2.9,3.1,15,1,1.1
14,Jun,16,2.55,2.65,16,1.65,1.75
14,Jun,17,2.2,2.35,17,2.3,2.4
14,Jun,18,1.95,2.05,18,3,3.2
14,Jun,19,1.75,1.85,19,3.8,3.9
14,Jun,20,1.55,1.65,20,4.6,4.8
14,Jun,21,1.4,1.5,21,5.4,5.6
14,Jun,22,1.25,1.35,22,6.3,6.5
14,Jun,23,1.15,1.2,23,7.2,7.3
14,Jun,24,1,1.1,24,8.1,8.2
14,Jun,25,0.95,1,25,9,9.1
14,Jun,26,0.85,0.95,26,9.9,10.1
14,Jun,27,0.8,0.85,27,10.8,11
14,Jun,28,0.7,0.8,28,11.7,11.9
14,Jun,29,0.65,0.75,29,12.7,12.9
14,Jun,30,0.6,0.65,30,13.6,13.8
14,Jun,32.5,0.5,0.55,32.5,16,16.2
14,Jun,35,0.4,0.45,35,18.4,18.6
14,Jun,37.5,0.3,0.4,37.5,20.8,21.1
14,Jun,40,0.25,0.35,40,23.2,23.5
14,Jun,42.5,0.2,0.3,42.5,25.7,26
14,Jun,45,0.15,0.25,45,28.1,28.4
14,Jun,47.5,0.15,0.2,47.5,30.6,30.9
14,Jun,50,0.1,0.2,50,33.1,33.3
14,Jun,55,0.05,0.15,55,38,38.3
14,Jun,60,0.05,0.1,60,43,43.3
14,Jun,65,0,0.1,65,48,48.2
14,Jun,70,0,0.1,70,52.9,53.2
14,Jul,10,7.3,7.5,10,0,0.05
14,Jul,11,6.3,6.6,11,0,0.05
14,Jul,12,5.3,5.6,12,0.05,0.1
14,Jul,13,4.5,4.8,13,0.15,0.25
14,Jul,14,3.8,4.1,14,0.5,0.6
14,Jul,15,3.3,3.5,15,1,1.1
14,Jul,16,2.95,3.1,16,1.5,1.65
14,Jul,17,2.6,2.75,17,2.15,2.3
14,Jul,18,2.3,2.4,18,2.85,3
14,Jul,19,2,2.15,19,3.6,3.8
14,Jul,20,1.8,1.95,20,4.3,4.5
14,Jul,21,1.6,1.75,21,5.1,5.3
14,Jul,22,1.4,1.55,22,6,6.2
14,Jul,23,1.3,1.4,23,6.8,7
14,Jul,24,1.15,1.3,24,7.7,7.9
14,Jul,25,1.05,1.15,25,8.6,8.8
14,Jul,26,0.95,1.05,26,9.5,9.7
14,Jul,27,0.85,0.95,27,10.4,10.6
14,Jul,28,0.8,0.85,28,11.3,11.5
14,Jul,29,0.7,0.8,29,12.2,12.5
14,Jul,30,0.65,0.75,30,13.1,13.4
14,Jul,32.5,0.5,0.6,32.5,15.5,15.8
14,Jul,35,0.4,0.5,35,17.9,18.2
14,Jul,37.5,0.3,0.4,37.5,20.3,20.6
14,Jul,40,0.25,0.35,40,22.7,23
14,Jul,42.5,0.2,0.3,42.5,25.2,25.4
14,Jul,45,0.15,0.25,45,27.6,27.9
14,Jul,47.5,0.1,0.25,47.5,30.1,30.4
14,Jul,50,0.1,0.2,50,32.5,32.8
14,Jul,55,0.05,0.15,55,37.5,37.8
14,Jul,60,0,0.15,60,42.4,42.7
14,Jul,65,0,0.1,65,47.4,47.7
14,Jul,70,0,0.1,70,52.4,52.7
14,Aug,10,7.6,7.9,10,0,0.1
14,Aug,11,6.6,6.9,11,0,0.1
14,Aug,12,5.6,6,12,0,0.1
14,Aug,13,4.8,5.1,13,0.15,0.25
14,Aug,14,4.1,4.4,14,0.45,0.6
14,Aug,15,3.6,3.9,15,0.95,1.05
14,Aug,16,3.2,3.5,16,1.55,1.65
14,Aug,17,2.95,3.1,17,2.2,2.3
14,Aug,18,2.6,2.75,18,2.85,3.1
14,Aug,19,2.35,2.5,19,3.5,3.8
14,Aug,20,2.1,2.25,20,4.3,4.5
14,Aug,21,1.85,2.05,21,5,5.3
14,Aug,22,1.7,1.85,22,5.9,6.1
14,Aug,23,1.55,1.65,23,6.7,7
14,Aug,24,1.35,1.55,24,7.5,7.8
14,Aug,25,1.25,1.4,25,8.4,8.7
14,Aug,26,1.15,1.25,26,9.3,9.6
14,Aug,27,1.05,1.15,27,10.2,10.5
14,Aug,28,0.95,1.05,28,11.1,11.4
14,Aug,29,0.85,0.95,29,12,12.3
14,Aug,30,0.8,0.9,30,13,13.2
14,Aug,32.5,0.65,0.75,32.5,15.3,15.6
14,Aug,35,0.5,0.6,35,17.7,17.9
14,Aug,37.5,0.4,0.5,37.5,20.1,20.3
14,Aug,40,0.3,0.4,40,22.5,22.8
14,Aug,42.5,0.25,0.4,42.5,24.9,25.2
14,Aug,45,0.2,0.35,45,27.3,27.6
14,Aug,47.5,0.2,0.3,47.5,29.8,30.1
14,Aug,50,0.15,0.25,50,32.2,32.5
14,Aug,55,0.1,0.2,55,37.1,37.5
14,Aug,60,0.1,0.15,60,42.1,42.4
14,Aug,65,0,0.15,65,47.1,47.4
14,Aug,70,0.05,0.1,70,52,52.4
